Genotype_code,Loc.Year.Treat
EB.10H.H.00139,BLOIS_2014_OPT
EB.10H.H.00141,BLOIS_2014_OPT
EB.10H.H.00143,BLOIS_2014_OPT
EB.10H.H.00146,BLOIS_2014_OPT
EB.10H.H.00147,BLOIS_2014_OPT
EB.10H.H.00148,BLOIS_2014_OPT
EB.10H.H.00149,BLOIS_2014_OPT
EB.10H.H.00151,BLOIS_2014_OPT
EB.09S.H.00063,BLOIS_2014_OPT
EB.09S.H.00079,BLOIS_2014_OPT
EB.09S.H.00090,BLOIS_2014_OPT
EB.09S.H.00115,BLOIS_2014_OPT
EB.09S.H.00134,BLOIS_2014_OPT
EB.09S.H.00169,BLOIS_2014_OPT
EB.09S.H.00195,BLOIS_2014_OPT
EB.09S.H.00208,BLOIS_2014_OPT
EB.09S.H.00355,BLOIS_2014_OPT
EB.09S.H.00370,BLOIS_2014_OPT
EB.09S.H.00415,BLOIS_2014_OPT
EB.09S.H.00442,BLOIS_2014_OPT
EB.09S.H.00460,BLOIS_2014_OPT
EB.09S.H.00492,BLOIS_2014_OPT
EB.10H.H.00024,BLOIS_2014_OPT
EB.10H.H.00028,BLOIS_2014_OPT
EB.10H.H.00071,BLOIS_2014_OPT
EB.10H.H.00092,BLOIS_2014_OPT
EB.10H.H.00144,BLOIS_2014_OPT
EB.09S.H.00003,BLOIS_2017_OPT
EB.09S.H.00004,BLOIS_2017_OPT
EB.09S.H.00005,BLOIS_2017_OPT
EB.09S.H.00007,BLOIS_2017_OPT
EB.09S.H.00008,BLOIS_2017_OPT
EB.09S.H.00009,BLOIS_2017_OPT
EB.09S.H.00015,BLOIS_2017_OPT
EB.09S.H.00016,BLOIS_2017_OPT
EB.09S.H.00017,BLOIS_2017_OPT
EB.09S.H.00019,BLOIS_2017_OPT
EB.09S.H.00027,BLOIS_2017_OPT
EB.09S.H.00030,BLOIS_2017_OPT
EB.09S.H.00039,BLOIS_2017_OPT
EB.09S.H.00040,BLOIS_2017_OPT
EB.09S.H.00041,BLOIS_2017_OPT
EB.09S.H.00043,BLOIS_2017_OPT
EB.09S.H.00044,BLOIS_2017_OPT
EB.09S.H.00046,BLOIS_2017_OPT
EB.09S.H.00048,BLOIS_2017_OPT
EB.09S.H.00049,BLOIS_2017_OPT
EB.09S.H.00052,BLOIS_2017_OPT
EB.09S.H.00054,BLOIS_2017_OPT
EB.09S.H.00061,BLOIS_2017_OPT
EB.09S.H.00064,BLOIS_2017_OPT
EB.09S.H.00065,BLOIS_2017_OPT
EB.09S.H.00071,BLOIS_2017_OPT
EB.09S.H.00072,BLOIS_2017_OPT
EB.09S.H.00073,BLOIS_2017_OPT
EB.09S.H.00074,BLOIS_2017_OPT
EB.09S.H.00076,BLOIS_2017_OPT
EB.09S.H.00080,BLOIS_2017_OPT
EB.09S.H.00081,BLOIS_2017_OPT
EB.09S.H.00083,BLOIS_2017_OPT
EB.09S.H.00084,BLOIS_2017_OPT
EB.09S.H.00086,BLOIS_2017_OPT
EB.09S.H.00087,BLOIS_2017_OPT
EB.09S.H.00091,BLOIS_2017_OPT
EB.09S.H.00093,BLOIS_2017_OPT
EB.09S.H.00097,BLOIS_2017_OPT
EB.09S.H.00098,BLOIS_2017_OPT
EB.09S.H.00100,BLOIS_2017_OPT
EB.09S.H.00101,BLOIS_2017_OPT
EB.09S.H.00106,BLOIS_2017_OPT
EB.09S.H.00107,BLOIS_2017_OPT
EB.09S.H.00108,BLOIS_2017_OPT
EB.09S.H.00111,BLOIS_2017_OPT
EB.09S.H.00112,BLOIS_2017_OPT
EB.09S.H.00114,BLOIS_2017_OPT
EB.09S.H.00116,BLOIS_2017_OPT
EB.09S.H.00118,BLOIS_2017_OPT
EB.09S.H.00122,BLOIS_2017_OPT
