ind,A632_usa,B73_inra,CO255_inra,FV252_inra,OH43_inra,A654_inra,FV2_inra,C103_inra,EP1_inra,D105_inra,W117_inra,B96,DK63,F492,ND245,VA85
EB.09S.H.00232,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00235,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00238,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00239,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00240,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00241,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00242,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00243,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00245,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00246,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00247,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00250,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00251,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00253,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00254,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00255,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00257,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00263,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00264,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00265,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00266,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00267,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00273,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00277,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00278,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00283,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00284,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00286,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00287,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00290,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00291,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00292,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00294,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00295,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00296,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00297,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00299,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00300,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00306,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00309,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00310,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00315,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00316,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00318,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00319,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00322,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00324,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00325,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00326,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00328,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00329,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00331,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00334,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00335,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00336,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00340,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00341,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00348,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00349,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00352,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00353,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00355,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00356,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00357,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00359,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00360,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00362,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00364,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00368,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00370,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00372,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00373,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00374,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00376,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00377,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00378,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00382,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00383,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00384,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00385,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00388,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00389,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00390,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00393,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00394,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00397,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00398,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00399,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00402,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00403,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00404,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00407,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00409,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00410,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00413,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00414,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00415,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00416,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00417,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00418,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00419,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00420,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00421,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00424,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00425,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00426,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00427,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00429,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00433,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00436,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00439,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00442,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00444,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00445,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00446,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00448,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
